S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status,Category,Label
2887,Ward 30,2575,मैतिदेवि वर्गर हाउसले किचनको ज्ञ्यास बाहिर राख्या छ । ac को बक्स पनि बाहिर राख्या छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2888,NoWard,2574,गंगालाल हस्पिटल वा चप्पल कारखाना बाट भित्र जनमार्गमा सार्वजनिक जग्गामा घर बनाएर गाई पाल्ने गरेको छ ,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2889,Ward 20,2573,वसन्तपूर परु ईलाझो वैद्य  चोक क्षेत्रका २/४ ओटा घर पुरानो जिण अवस्थामा रहेको छन् आवाात जावत गर्दा पनि डर हुने खालको । ति घरको घरधनि हरुलाई बारम्बार सम्झाउदा पनि भाडामा लगाएर पसल राखेको छ । ,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2890,Ward 32,2572,वडा न्. ३२ को बडा भवन अगाडी  नालि जस्तोमा स्ल्याव हालेर  टहरा बनाएर  बैङ्को काउन्टर बनाएको छ । ध्यानाकर्षण गरिदिनुहुन ।,,"नगर प्रहरी बल,Ward 32",closed,नगर प्रहरी,genuine
2891,Ward 10,2569,वानेश्वर पठाउ अफिस अगाडी घर ढलान गर्दा ट्राफिक संकेत (diversion) नराखि गर्दा धेरै जाम हुने भएको छ । समस्या समाधान होस् ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2892,Ward 10,2568,चापागाउँ पाठशाला नेपाल फाउन्डेशनले टोल नै थर्काउने गरि साउण्ड सिस्टम बजाउँछ जति भने पनि अटेरि गरेको  ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2893,Ward 1,2565,नक्शाल भगवति मन्दिरबाट सानो गौचरन जाने बाटोको जग्गा मिचेर kl dugad ले  पर्खाल लगाएरको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2894,Ward 10,2564, वडा नं. १०  वानेश्वर  देविनगर भद्रघले स्कुल र रुद्रमति स्कुल नजिक पञ्चागिनि मन्दिर छेउमा रहेको सार्वजनिक जग्गा ओगटेर त्यहाँको स्थानिय क्लबले जस्ताको टहरा  मा ब्याडमिन्टन कोच बनाई भाडामा दिने गरेको छ ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2895,Ward 28,2562,भृकुटीमण्डप अपाङ्ग महासघं प्रदशनि मार्ग क्षेत्रमा विभिन्न सामानहरुको मेला लागेको छ । जसले गर्दा भिडभाड बढी भयो त्यहाँ आउने हरुको गाडि पार्किङ  गरेर हिड्न गाह्रो भयो बाटो जाम हिलो खाल्डा खुल्डी बढि भयो ।,,"नगर प्रहरी बल,सार्वजनिक निर्माण विभाग",closed,नगर प्रहरी,genuine
2896,Ward 28,2561,राष्ट्रिय सभा गृह अगाडी को जुत्ता पसल अपाङ्ग मैत्रि सार्वजनिक शौचालय बनाउनको लागि खालि गरेको तर अहिले त्यो जुत्ता पसलले अटेरी गरी फेरि पसल राखेको छ । ,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2897,Ward 31,2560,"
पुरानो बानेश्वरबाट भिमसेनगोला  जाँदा बाटोको बायाँ साईड मा तरकारी  फलफूल को पसल  राखेर फुटपाथ मा हिड्न समेत समस्या भयो 
",,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2898,Ward 30,2559,"
डील्ली बजार विलियम स्कूल अगाडि  साइकल मर्मत गर्नेले सटर भन्दा  अगाडि फुटपाथ मा मर्मत गर्ने सामान साइकल राखेर बाटो पुरै छोपिएको छ ।",,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2899,Ward 26,2556, वडा नं. 26 केशरमहल बाट सञ्चय कोष हुँदै  ठमेल चोक जाने बाटोमा ट्रष्टको जग्गामा टहरा बनाएर सञ्चालन गरेको छ ,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2900,Ward 28,2555,जमल दरबार हाई स्कुल नजिक RCT क्लब नजिक सार्वजनिक स्थलमा महानगरले पार्किङ शुल्क नलिन भनेको ठाउँमा पनि शुल्क उठाई रहेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2901,Ward 32,2553,पेप्सीकोला साईराम चोक देखि भित्र बाटोमा गाडी पार्किङ गरेर बाटो साघुँरो हुने जाम हुने गरेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2902,Ward 15,2551,शोभाभगवति मन्दिर नजिक सरकारि जग्गामाम deep boring गरेर सिमित व्यक्तिले निजि प्रयोग गरिरहेको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2903,Ward 27,2550,साझाबाट विरहस्पिटल निस्कने गल्लिमा बाइकहरु पार्किङ गरेर मानिस हिड्न तथा घर भित्र छिर्न समस्या भयो। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2904,Ward 28,2549,जमलमा सार्वजनिक जग्गामा पार्किङ शुल्क लिने गरेको छ जबकी महानगर प्रहरिले यस भन्दा अगि शुल्क नतिर्न माकिङ गरेको थियो। यसको आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2905,Ward 6,2548,माहाकाल ओरालोमा घर बनाउदा सेट व्याक नछोडि बनाउने गरेको छ। यस सम्बन्धमा आवश्यक काम गरिदिनुहुन अनुरोध छ जसबाट खोलाको जग्गा अतिक्रमण नगरि खोला नै रहोस भनि गुनासो आएको छ। ,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2906,Ward 8,2547,पिंगलास्थानमा धेरै टहराहरु छन। नक्सा पास भएको छ छैन अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ साथै टहरामा भट्टि पसल छ तथा जथाभावि पार्किङ गरेर रक्सि खाएर हल्ला गर्दछन। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2907,Ward 1,2546,कमलपोखरि RNC कम्लेक्सको फुटपाथमा ग्यास सिलिन्डर र जारहरु राखेकोले हिड्न समस्या भयो। फुटपाथ पसल व्यवस्थापन गरिदिनुहुन अनुरोध छ। ,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2908,Ward 16,2544,बिजि महलको opposite को बवालिचोकमा फुटपाथमा पसल राखेर एकदमै धुलो धुवा भयो। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2909,Ward 29,2543,डिल्लिबजार कालिकास्थान  अध्यागमन विभाग अगाडि बाटोको रेलिङमा तार राखेको हुदा हिड्न् बटुवाहरुको कपडा अड्किएर असहज स्थिति भयो। तार झिकिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2910,Ward 15,2542,मनमति खोला भिमढुङ्गा देखि विष्णु मतिको दोभानमा खोला अतिक्रमण गरि बस्ति बसेको छ।यसलाइ करिडोर बनाउन पाए हुने थियो भनि गुनासो आएको छ। ,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2911,Ward 23,2541,न्यूरोड भित्र रोजिता कम्प्लेक्समा वाइक पार्किङमा एउटा राखेर चिया पकाउने तथा चुरोट खाले गरेर जथाभावि फोहोर हुने तथा पाकिङमा आगलागि हुन सम्भावन छ। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2912,Ward 29,2540,मैत्रिदेवि पंचशिल मार्ग कुमारि बैक र ए.जि. सोरुम अगाडि प्रवेश मार्गको मुखैमा मापदण्ड बमोजिम छोडन पर्ने सिमा नछाडी ३ फिट अग्लो ६ फीटको सिमिन्टको टेबुल राखेको छ। यसलाइ हटाइदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2913,Ward 32,2539,कोटेश्वर नेविल बैङ्क अगाडी नयाँ घरको पेटी अग्लो पार्‍यो त्यो मापदण्ड विपरित छ कि छैन हेर्न पर्‍यो ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2914,Ward 10,2538,अनामनगर पछाडी धोविखोला  देविनगर  टोल धोविखोला किनारामा सानो नयाँ हरियो पूल सँगै रहेको गाई फार्म सरकारी जग्गामा  व्यक्तिले भाडा लिई सञ्चालन गरेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2915,Ward 32,2537,कोटेश्वर नेविल बैक अगाडि नया घर पेटि धेरै अग्लो पार्यो। मापदण्ड अनुरुप रहे नरहेको आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2916,Ward 29,2536,पञ्चशिल मार्ग कुमारी बैङ्क अगाडीको गल्लिको पूर्व पट्टिको घरले बाटोको लागि छोड्नु पर्ने ठाउँमा ३ फिट उचाई ६ फिट लम्बाई राखेर टेवल जस्तो बनाएर तरकारी पसल राखेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2917,Ward 16,2534,सोह्रखुट्टे पिपलबोटमा अण्डरग्राउण्ड मा गुन्यु चोलि दोहोरि साझहरु चलाइरहेको छ।तथा बालाजुमा मयुर दोहोर साझ पनि अण्डरग्राउण्डमा राखेको छ।आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2918,Ward 32,2533,कोटेश्वर महादेवस्थान opposite मा रहेको सहयोगि मार्गमा ठेलागाडा मा पसल राखेर आवतजावतमा समस्या भयो। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2919,Ward 7,2531,चाबेल गणेशस्थान मन्दिरको पश्चिमपट्टिको गेटमा world link को व्यानर छुन्डाएर व्यापार गरिरहेको छ साथै पुर्व पट्टिको किनारमा सुकेको ढुङ्गेधाराबाट प्रारभेट किनार खनेर चलाएको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2920,Ward 9,2530,बत्तिसपुतलि द्धारिका होटल अगाडि राम मन्दिर छिर्ने कर्नरमा सार्वजनिक इनारमा न.पा. बेगर साढे तीन तलाको भवन बनेको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2921,Ward 4,2528,धुमबाराहि पिपलबोट केके मार्ट नजिक double parking तथा फुटपाथ पसल राखि आवतजावत गर्न असजिलो भएकाले आवतजावतमा समस्या भयो । यसको नियन्त्रण गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2922,Ward 24,2527,भोटाहिटिमा जथाभावि पार्किङ र फुटपाथ पसलले आवतजावतमा समस्या भयो। यसको नियन्त्रण गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2923,Ward 32,2526,कोटेश्वर भाटभटेनिले बाटो बल्क गरेर टेन्ट राखेर सामान बेच्ने गरेको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2924,Ward 29,2525,अनामनगर बाट घट्टेकुलो जाने बाटो वरिपरी साँझ परेपछी फुटपाथ पसल राखेर हिड्नै गाह्रो  भएको छ त्यो पसल ले गर्दा बाटो जाम हुने गरेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2925,Ward 10,2524,नयाँ बानेश्वर मिनभवन ठुलो खरिबोटबाट उत्तर तर्फ भिमसेनगोला मार्ग ढुङ्गेधारामा सार्वजनिक जग्गा मिचेर अस्थायी ठहरा बनाएर पवित्रा मासु पसल र खाजा पसल सञ्चालन हुदै आएको छ ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2926,Ward 16,2522,वनस्थलि मा सिट नं १०२१०२३०६ को कि.नं. १३३ जे.फ. ५-०-०-०  खोला पट्टिको  सार्वजनिक जग्गा देखाएकोमा अहिले २/३ रोपनि मात्र बाँकि छ र त्यसमा पनि अनाधिकृत रुपमा टहरा बनाएको छ ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2927,Ward 10,2519,वडा नं१० वानेश्वर पानि ट्याङ्कि अगाडी A-one Fast food शिवम् मिष्ठान्न भण्डारको अन्डरग्राउण्ड पार्किङ्ग हटाउन पर्‍यो ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2928,Ward 16,2518,वडा नं. १६ बनस्थलि चोक देखि भित्र बिद्युतको हाईटेन्सन नजिकैको सार्वजनिक जग्गा मिचेर घर बनेको छ । त्यहाँ सौर्यदिप बोडिङ स्कुल हाईटेन्सन मुनि जोखिममा  राखेरको छ ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2929,Ward 10,2517,बाटोको नक्सा नभएको तर कित्ताबाट निकालेर घर ढाक्ने गरि स्लोप निकालेको रैछ । ।वास्तविक बाटो नक्सामा ओरालो छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2930,Ward 3,2515,का‍.म.पा. ३ वडा चक्रपथ स्थित श्रीजनशिल  मार्गको सिट न १०२०९४६१८ को कि.न १६१ ले सार्वजनिक वाटो लाइ आपनो कित्ता भित्र हालेको छ । अनुसन्धान गरी वाटो कायम गर्नु पर्‍यो ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2931,Ward 24,2513,वडा नं. २४ न्यूरोड ताम्राकार कम्प्लेक्स अगाडी दुबै लाईनमा पार्किङ राखर्र बाटो साँघुरो तथा जाम हुने गरेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2932,NoWard,2512,फुटपाथमा रहेको कपडा लगाएतका अन्य पसल हरु हटाएको तर चिया पसल नहटाईएको किन,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2933,Ward 16,2511,वनस्थलि ढुङ्गेधारा छिर्ने बाटोमा रहेको काठको पसल अव्यवस्थित रुपमा राख्दा  आवातजावतमा समस्या भयो ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2934,Ward 14,2510,कलङ्की रुद्र बजारमा  पसलहरु अनाधिकृत रुपमा राखेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2935,NoWard,2505,धोविखोला करिडोर पुरानो बानेश्वर बाट सेतो पुल हदै भत्क्या पुल जाने बाटोको रुख काटेर हांगा यत्तिकै छोडेको अवस्था छ। हागा काट्दै सफा गर्दै जानु हुन अनुरोध छ। साथै ढल तथा बाटो सफा गर्ने हरुले बाटोको विच विचमा जम्मा गरि यत्तिकै छोडेर फेरि फोहोर हुने हुदा यसमा ध्यान दिइ काम गर्न निर्देशन गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2936,Ward 4,2502,रिङ्गरोडको कारखाना चोक आसपास ford गाडि सर्विस सेन्टर अगाडि रोड छेकेर अस्थायि टहरा बनाएको छ। अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2937,Ward 14,2501,कलंकि एडभान्स इन्जिनियरिङ कलेजले खोला मिचेर कम्पाउण्ड बनाइ सकको हुदा आवश्यक अनुगमन गरि कारबााहि गरिदिनुहुन अनुरोध छ। साथै कंलकी मालपोतमा बल्खु आउने खोलाको करिडोरमा अनाधिकृत संरचना धेरै छ।  अनाधिकृत संरचना भत्काइदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2938,Ward 22,2499,महाबौद्ध चोक DRN tower  को पछाडी पाल राखेर हिड्डन गाह्रो भयो तथा pan no. बिनाको होटल चलाएको छ।आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2939,Ward 29,2498,मैतिदेवि भैरवथान देखि मैतिदेवि चोकमा प्रहरि विट छ। पैदल यात्रि देखि गाडि चलाउनेलाइ एकदमै गाह्रो भयो। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2940,Ward 22,2497,"माहाबौद्ध लगायत २,३ वटा पसलले मात्र फुटपाथहरुको सामानहरु  हटायो।तर मालबौद्ध पुलिस बिट नजिक  गोविन्द श्रेष्ठले हटाउन दिएन । आवश्यक अनुगमन गरि कारबाहाि गरिदिनुहुन अनुरोध छ।",,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2941,Ward 31,2496,कालिमार्ग नयाबानेश्वरमा मापदण्ड विपरित देउरालि क्लब बनाइराखेको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2942,Ward 32,2495,जडिबुटि-पेप्सिखोला जाने दाया बाया देखि मनोहरा जग्गा एकीकरण आयोजना सम्म अनाधिकृत रुपमा बनेको घर टहरा भत्काइ दिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2943,Ward 26,2494,छाया कम्लेक्स भगवान बहाल नजिकै बाटो मिचेर स्कुलको नाममा प्राइभेट पार्किङ गरेर सर्वसाधारणलाइ पार्किङ गर्दा प्रति रु २०० उठाउने गरेको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2944,Ward 2,2493,लाजिम्पाट मिल सरस्वति मार्ग किर्ति मेडिकल हल सगैको ग्यारेज पसलेले छतमा टायर राखेर आकाशे पानि जम्मा भइ डेंगु बढ्यो। त्यसैले टायर निकालिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Public Health Dept.",closed,नगर प्रहरी,genuine
2945,Ward 24,2492,मिति २०७९/०५/०१  गते शनिवार साँझ ४/५ बजे तिर  महाबौद्ध महांकाल क्षेत्रमा बाटो भरि फुटपाथ पसल राखेर  बाटो बन्द हुदा विरामि बोकेको एम्बुलेन्स  रोकीएको थियो । काठमाण्डौ महानगरपालिकाको गाडि नं बागमति १. ००१ ग ४०६६ को त्यो क्षेत्रमा रहेको र  सो गाडीमा रहेको स्टाफ लाई समस्या राखेर फुटपाथ हटाउन भन्दा अटेरी गरी शनिवारलाई छुट जस्तो प्रतिक्रिया देखाएको  नहटाएको भन्ने गुनासो आएकोले ध्यानाकर्षण  गरिदिनुहुन  ।,,"नगर प्रहरी बल,प्रशासन विभाग",closed,नगर प्रहरी,genuine
2946,Ward 29,2487,अनामनगर भाटभटेनिबाट मैतिदेवि जाने धोविखोला करिडोर नजक मदन भण्डारि कलेज पुलको पश्चिम साइटमा २ रोपनि जग्गामा गुठिले कब्जा गरिको अवस्था छ। साथै अन्य व्यक्तिहरुलाइ पार्किङ पनि गर्न दिदैन। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2947,Ward 31,2485,शंखमुल गणेशमार्गमा कित्ता नं. ३५७ ले बाटोको जग्गा मिचेर पर्खाल बनाएको हुदा आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2948,Ward 7,2483,वडा न. ०७  चावहिल मा  हेल्पिङ ह्याङ्ड हस्पिटलले आफ्नो भवनमा रहेको बेसमेन्ट पार्किङ लाई अन्य प्रयोजनमा लगाएर त्यहाँ आउने सेवाग्राहीको साधन बाटोमा पार्किङ गराउने गरेको छ जसले गर्दा बाटोको दुबै तर्फ जाम हुने गरेको छ ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2949,Ward 32,2482,जडिबुटि देखि पेप्सीकोला जाने बाटोको दाँया बायाँ  तर्फ  अव्यवस्थित टहराहरु रहेका छन् तिनको पनि व्यवस्थापन गर्नु पर्‍यो तथा मनोहरा जग्गा एकिकरण अभियान  अन्तर्गतको सुकुम्बासी बस्ती को टहरा को व्यवस्थापन गर्नुपर्‍यो ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2950,Ward 22,2478,महाबौद्ध पुलिस विट नजिकको सबै व्यापारीले  हटाई सकेको तर एकता व्यापारको उपाध्यक्ष गोविन्द श्रेष्ठ  ले अटेरि गरेर नहटाएको  र हटाउन भन्दा पनि भनसुनको कुरा गर्ने गरेको छ ।अनुगमन गईदिनु हुन ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2951,Ward 10,2476,मध्यवानेश्वर भेनस हस्पिटल नजिक इन्द्र प्रभा complex ले आफ्नफ पार्किङ बन्द गरेर अफिस बनाएको छ । ,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2952,Ward 14,2475,लामपाटिबाट कलंकि मन्दिर तर्फ जाने बाया साइटमा एउटा फुटपाथमा घर बनाएर पसल गरको छ। आवश्यक अनुगमन गरि कानूनि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2953,Ward 11,2474,त्रिपुरेश्वर ब्लुवर्डमल बडा कार्यालय अगाडी मेनरोडको जग्गा मिचेर पिज्जाहर्ट राखेर अनाधिकृत व्यापार गरेको । पेटी मिचेर सिडी बनाएर त्यस मा वाल लगाएर निजि बनाएको छ ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2954,Ward 32,2472,पेप्सिकोला चोकको मुख्य गेटको opposite मा मापदण्ड विपरित २ वटा घर बनाएको छ। आवश्यक अनुगमन गरि कानूनि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2955,Ward 6,2471,अरुणिमा स्कुलको दक्षिणतर्फ  गलैचाको धागो आगोमा विभिन्न रसायनिक पदार्थमा रङ मिसाएर तताएर रङगाउने गरेको छ जसले गर्दा धुवा धुलो एकदमै बढ्यो साथै रासायनिक पदार्थ सिधै खोलामा फाल्ने गरेको हुदा स्वास्थ्यमा एकदमै समस्या भयो। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2956,Ward 14,2469,खसिबजार नजिक NBTC कम्प्लेक्सले बाटो मिचेर मापदण्ड विपरित निमार्ण भएको छ। आवश्यक अनुगमन गरि कारबाहि गर्नहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2957,Ward 7,2467,चावहिल बुलबुले मार्ग कालोपूलबाट सुभम् बन्क्यूट हुँदै जाने बाटोमा घर को सम्पन्न कागज बनाई सकेपछी पुन पिलर थपेर निर्माण कार्य गरिरहेको छ ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2958,Ward 10,2466,बानेश्वर देउराली क्लब पछाडी अवैधानिक रुपमा जिम घर बनेको छ ।प्रकाशमान सिंह बाट १ करोड सहयोग उपलब्ध भई निर्माण कार्य सुचारु भएको हो ।महानगरले जग्गा बाहिरको संरचना भत्काएको थियो । अहिले त्यहाँ तर थप्ने कार्य भै रहेको छ । एक पटक अनुगमन आईदिनु हुन ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2959,Ward 14,2465,वडा नं. 14 स्युचाटार  जाने बाटो गणेशथान चोक मा औलानी जग्गामा दुई तलाको टहरा बनाएर भाडामा दिएको छ थप जानकारीको लागि इनिस्पेक्टर किशोर भट्टराईलाई सम्पर्क गर्नु हुन ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2960,Ward 2,2464,गौरिधाराको गोमा गणेश पेट्रोल पम्पले फुटपाथ मिचेको छ। यसको आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2961,Ward 10,2462,नया बानेश्वर पानि ट्याङकि क्षेत्रमा no parking लेखेको ठाउमा बाटोको दाया बाया नै पार्किङ गरि आवतजावतमा समस्या भयो। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2962,Ward 14,2461,कलङ्कि लामपाते Kidzee  स्कुलले होहल्ला गरेर डिस्टर्व भयो । पढाई भन्दा पनि बढि नाचगाना बढी भयो ।,,नगर प्रहरी बल,closed,नगर प्रहरी,genuine
2963,Ward 6,2460,बौद्धमा कसैलाइ २ फिटसम्म फुटपाथ राख्न दिने कसैलाइ नदिने गरिरहेको अवस्था हुदा सबैलाइ समान व्यवहार गरि फुटपाथ पसल नियन्त्रण गरिनुपर्यो भनि गुनासो आएको छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2964,Ward 16,2459,माछापोखरि विभागको पछाडीको wall र त्यो सगैको घरले बाटो मिचेको अवस्था छ। wall भत्काइ बाटो फराकिलो बनाइदिनुहुन अनुरोध छ साथै माछापोखरि  CT center को अण्डरग्राउण्डमा departmental store चलाइ बाटोमा पार्किङ गरेको अवस्था छ। त्यसैले पार्किङको व्यवस्थापनको लागि आवश्यक अनुगमन गरि कानुनि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2965,Ward 10,2458,नया बानेश्वर पानि ट्याङकि नजिकको आकाशे पुलको दाया बाया ‍को शिवम मिठाइ  पसल  र ए वान रेष्टुरेन्टको  अण्डरग्राउण्ड पार्किङमा  अन्य क्रियाकलाप संचालन  गरेको हुदा आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2966,Ward 10,2457,बानेश्व कन्फेन्स हल पछाडि रहेको सार्किगाउँमा देउरालि क्लब २ वर्ष पहिला नगरपालिकाले अवैद्य भनेर भत्काएको थियो तर फेरि अरु ३/४ तला नक्शा पास बिना बाटो मिचेर बनाएको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
2967,Ward 32,2456,जडिबुटि चोकबाट पेप्सिखोला जाने बाटोमा अनाधिकृत संरचना धेरै भएकाले यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ। मनोहराा जग्गा एकीकरण व्यवस्थित गरिदिनुहुन अनुरोध छ।,,"नगर प्रहरी बल,Mayorसचिवालय",closed,नगर प्रहरी,genuine
